# 1D ASCII output created by CarpetIOASCII
# created on 127.0.0.1ip-172-30-0-219 by admin on Aug 18 2016 at 07:11:29+0000
# parameter filename: "/home/admin/simulations/TWO_BH/2BH_Equal_mass/2bh_m1m2_0.47656_py_sx/manybhnear_2bh_m1m2_0.47656_py_sx_24x25x33.par"
#
# ADMCONSTRAINTS::HAMILTONIAN z (admconstraints-hamiltonian)
#
# iteration 0   time 0
# time level 0
# refinement level 0   multigrid level 0   map 0   component 0
# column format: 1:it	2:tl	3:rl 4:c 5:ml	6:ix 7:iy 8:iz	9:time	10:x 11:y 12:z	13:data
# data columns: 13:ham
0	0	0 0 0	20 20 0	0	3 0.1 0.06875	0.0816580721192636
0	0	0 0 0	20 20 1	0	3 0.1 0.0703125	0.0816580721192636
0	0	0 0 0	20 20 2	0	3 0.1 0.071875	0.0819961444744565
0	0	0 0 0	20 20 3	0	3 0.1 0.0734375	0.0823288925879648
0	0	0 0 0	20 20 4	0	3 0.1 0.075	0.0826592539946538
0	0	0 0 0	20 20 5	0	3 0.1 0.0765625	0.0829869546748496
0	0	0 0 0	20 20 6	0	3 0.1 0.078125	0.0833117344909832
0	0	0 0 0	20 20 7	0	3 0.1 0.0796875	0.08363334708414
0	0	0 0 0	20 20 8	0	3 0.1 0.08125	0.0839515596988725
0	0	0 0 0	20 20 9	0	3 0.1 0.0828125	0.0842661530119537
0	0	0 0 0	20 20 10	0	3 0.1 0.084375	0.0845769208768138
0	0	0 0 0	20 20 11	0	3 0.1 0.0859375	0.0848836701107263
0	0	0 0 0	20 20 12	0	3 0.1 0.0875	0.0851862201781539
0	0	0 0 0	20 20 13	0	3 0.1 0.0890625	0.0854844029181779
0	0	0 0 0	20 20 14	0	3 0.1 0.090625	0.0857780621964663
0	0	0 0 0	20 20 15	0	3 0.1 0.0921875	0.0860670535877118
0	0	0 0 0	20 20 16	0	3 0.1 0.09375	0.0863512440185473
0	0	0 0 0	20 20 17	0	3 0.1 0.0953125	0.0866305113949656
0	0	0 0 0	20 20 18	0	3 0.1 0.096875	0.0869047442499691
0	0	0 0 0	20 20 19	0	3 0.1 0.0984375	0.087173841348533
0	0	0 0 0	20 20 20	0	3 0.1 0.1	0.0874377113126764
0	0	0 0 0	20 20 21	0	3 0.1 0.1015625	0.087696272245585
0	0	0 0 0	20 20 22	0	3 0.1 0.103125	0.0879494513110918
0	0	0 0 0	20 20 23	0	3 0.1 0.1046875	0.0881971844089417
0	0	0 0 0	20 20 24	0	3 0.1 0.10625	0.0884394157350801
0	0	0 0 0	20 20 25	0	3 0.1 0.1078125	0.0886760974187496
0	0	0 0 0	20 20 26	0	3 0.1 0.109375	0.0889071891865231
0	0	0 0 0	20 20 27	0	3 0.1 0.1109375	0.0891326579307402
0	0	0 0 0	20 20 28	0	3 0.1 0.1125	0.0893524774074946
0	0	0 0 0	20 20 29	0	3 0.1 0.1140625	0.0895666278210671
0	0	0 0 0	20 20 30	0	3 0.1 0.115625	0.0897750955556204
0	0	0 0 0	20 20 31	0	3 0.1 0.1171875	0.0899778727716257
0	0	0 0 0	20 20 32	0	3 0.1 0.11875	0.0901749571016906
0	0	0 0 0	20 20 33	0	3 0.1 0.1203125	0.0903663513409144
0	0	0 0 0	20 20 34	0	3 0.1 0.121875	0.0905520631315884
0	0	0 0 0	20 20 35	0	3 0.1 0.1234375	0.0907321046579481
0	0	0 0 0	20 20 36	0	3 0.1 0.125	0.0909064923775649
0	0	0 0 0	20 20 37	0	3 0.1 0.1265625	0.0910752467383094
0	0	0 0 0	20 20 38	0	3 0.1 0.128125	0.0912383918821824
0	0	0 0 0	20 20 39	0	3 0.1 0.1296875	0.0913940616957206
0	0	0 0 0	20 20 40	0	3 0.1 0.13125	0.0913940616957206


