# 1D ASCII output created by CarpetIOASCII
# created on 127.0.0.1ip-172-30-0-219 by admin on Aug 22 2016 at 18:40:42+0000
# parameter filename: "/home/admin/simulations/TWO_BH/2BH_Equal_mass/2bh_m1m2_0.47656_py_sx0.1/manybhfar_2bh_m1m2_0.47656_py_sx0.1_12x13x17.par"
#
# ADMCONSTRAINTS::HAMILTONIAN z (admconstraints-hamiltonian)
#
# iteration 0   time 0
# time level 0
# refinement level 0   multigrid level 0   map 0   component 0
# column format: 1:it	2:tl	3:rl 4:c 5:ml	6:ix 7:iy 8:iz	9:time	10:x 11:y 12:z	13:data
# data columns: 13:ham
0	0	0 0 0	1280 20 0	0	0 5 4.9375	-9.6466759484735e-08
0	0	0 0 0	1280 20 1	0	0 5 4.940625	-9.6466759484735e-08
0	0	0 0 0	1280 20 2	0	0 5 4.94375	-9.85233365311895e-08
0	0	0 0 0	1280 20 3	0	0 5 4.946875	-1.00232816074195e-07
0	0	0 0 0	1280 20 4	0	0 5 4.95	-1.00305825488136e-07
0	0	0 0 0	1280 20 5	0	0 5 4.953125	-1.01612854966917e-07
0	0	0 0 0	1280 20 6	0	0 5 4.95625	-1.0221611448782e-07
0	0	0 0 0	1280 20 7	0	0 5 4.959375	-1.02617898511854e-07
0	0	0 0 0	1280 20 8	0	0 5 4.9625	-1.04469707800416e-07
0	0	0 0 0	1280 20 9	0	0 5 4.965625	-1.04971253619483e-07
0	0	0 0 0	1280 20 10	0	0 5 4.96875	-1.0519941888439e-07
0	0	0 0 0	1280 20 11	0	0 5 4.971875	-1.07093646065733e-07
0	0	0 0 0	1280 20 12	0	0 5 4.975	-1.07277924054397e-07
0	0	0 0 0	1280 20 13	0	0 5 4.978125	-1.08122757822692e-07
0	0	0 0 0	1280 20 14	0	0 5 4.98125	-1.08909769054182e-07
0	0	0 0 0	1280 20 15	0	0 5 4.984375	-1.09279614382001e-07
0	0	0 0 0	1280 20 16	0	0 5 4.9875	-1.11029252195494e-07
0	0	0 0 0	1280 20 17	0	0 5 4.990625	-1.10564560064463e-07
0	0	0 0 0	1280 20 18	0	0 5 4.99375	-1.10832693948086e-07
0	0	0 0 0	1280 20 19	0	0 5 4.996875	-1.12912696482182e-07
0	0	0 0 0	1280 20 20	0	0 5 5	-1.12849607619553e-07
0	0	0 0 0	1280 20 21	0	0 5 5.003125	-1.12944345946003e-07
0	0	0 0 0	1280 20 22	0	0 5 5.00625	-1.14132322088592e-07
0	0	0 0 0	1280 20 23	0	0 5 5.009375	-1.15262781649056e-07
0	0	0 0 0	1280 20 24	0	0 5 5.0125	-1.16119854350017e-07
0	0	0 0 0	1280 20 25	0	0 5 5.015625	-1.1655951889055e-07
0	0	0 0 0	1280 20 26	0	0 5 5.01875	-1.17373453644686e-07
0	0	0 0 0	1280 20 27	0	0 5 5.021875	-1.17625963265626e-07
0	0	0 0 0	1280 20 28	0	0 5 5.025	-1.18108869570068e-07
0	0	0 0 0	1280 20 29	0	0 5 5.028125	-1.18462298888686e-07
0	0	0 0 0	1280 20 30	0	0 5 5.03125	-1.19550453220972e-07
0	0	0 0 0	1280 20 31	0	0 5 5.034375	-1.19933113517982e-07
0	0	0 0 0	1280 20 32	0	0 5 5.0375	-1.2119490441938e-07
0	0	0 0 0	1280 20 33	0	0 5 5.040625	-1.20886603697135e-07
0	0	0 0 0	1280 20 34	0	0 5 5.04375	-1.2203406616359e-07
0	0	0 0 0	1280 20 35	0	0 5 5.046875	-1.22547986729297e-07
0	0	0 0 0	1280 20 36	0	0 5 5.05	-1.23509330096062e-07
0	0	0 0 0	1280 20 37	0	0 5 5.053125	-1.23548719254732e-07
0	0	0 0 0	1280 20 38	0	0 5 5.05625	-1.24828707357647e-07
0	0	0 0 0	1280 20 39	0	0 5 5.059375	-1.22758628754044e-07
0	0	0 0 0	1280 20 40	0	0 5 5.0625	-1.22758628754044e-07


