# 1D ASCII output created by CarpetIOASCII
# created on 127.0.0.1ip-172-30-0-219 by admin on Aug 23 2016 at 03:13:42+0000
# parameter filename: "/home/admin/simulations/TWO_BH/2BH_Equal_mass/2bh_m1m2_0.47656_py_sx0.3/manybhmid_2bh_m1m2_0.47656_py_sx0.3_8x9x13.par"
#
# ADMCONSTRAINTS::HAMILTONIAN x (admconstraints-hamiltonian)
#
# iteration 0   time 0
# time level 0
# refinement level 0   multigrid level 0   map 0   component 0
# column format: 1:it	2:tl	3:rl 4:c 5:ml	6:ix 7:iy 8:iz	9:time	10:x 11:y 12:z	13:data
# data columns: 13:ham
0	0	0 0 0	0 4 4	0	-2 0 0	-1.74598608713868e-05
0	0	0 0 0	1 4 4	0	-1.996875 0 0	-1.74598608713868e-05
0	0	0 0 0	2 4 4	0	-1.99375 0 0	-6.56355411691317e-07
0	0	0 0 0	3 4 4	0	-1.990625 0 0	-6.57014995385837e-07
0	0	0 0 0	4 4 4	0	-1.9875 0 0	-6.58270297554039e-07
0	0	0 0 0	5 4 4	0	-1.984375 0 0	-6.58370206245169e-07
0	0	0 0 0	6 4 4	0	-1.98125 0 0	-6.58214655250774e-07
0	0	0 0 0	7 4 4	0	-1.978125 0 0	-6.57215773702986e-07
0	0	0 0 0	8 4 4	0	-1.975 0 0	-6.53177895894828e-07
0	0	0 0 0	9 4 4	0	-1.971875 0 0	-6.46330126048006e-07
0	0	0 0 0	10 4 4	0	-1.96875 0 0	-6.35671625104188e-07
0	0	0 0 0	11 4 4	0	-1.965625 0 0	-6.1778323878596e-07
0	0	0 0 0	12 4 4	0	-1.9625 0 0	-5.92843969857539e-07
0	0	0 0 0	13 4 4	0	-1.959375 0 0	-5.57444307766565e-07
0	0	0 0 0	14 4 4	0	-1.95625 0 0	-5.06569636846751e-07
0	0	0 0 0	15 4 4	0	-1.953125 0 0	-4.388348726458e-07
0	0	0 0 0	16 4 4	0	-1.95 0 0	-9.5720323849656e-07
0	0	0 0 0	17 4 4	0	-1.946875 0 0	-5.64169633130666e-07
0	0	0 0 0	18 4 4	0	-1.94375 0 0	-5.84454157000723e-07
0	0	0 0 0	19 4 4	0	-1.940625 0 0	-5.79534035847562e-07
0	0	0 0 0	20 4 4	0	-1.9375 0 0	-5.73508058408735e-07
0	0	0 0 0	21 4 4	0	-1.934375 0 0	-5.6740958901476e-07
0	0	0 0 0	22 4 4	0	-1.93125 0 0	-5.60908200890288e-07
0	0	0 0 0	23 4 4	0	-1.928125 0 0	-5.53801223381186e-07
0	0	0 0 0	24 4 4	0	-1.925 0 0	-5.4661228272748e-07
0	0	0 0 0	25 4 4	0	-1.921875 0 0	-5.39790318461637e-07
0	0	0 0 0	26 4 4	0	-1.91875 0 0	-5.32632605278411e-07
0	0	0 0 0	27 4 4	0	-1.915625 0 0	-5.2521022894875e-07
0	0	0 0 0	28 4 4	0	-1.9125 0 0	-5.17339824907155e-07
0	0	0 0 0	29 4 4	0	-1.909375 0 0	-5.0995071619207e-07
0	0	0 0 0	30 4 4	0	-1.90625 0 0	-5.02176456810416e-07
0	0	0 0 0	31 4 4	0	-1.903125 0 0	-4.94820903342887e-07
0	0	0 0 0	32 4 4	0	-1.9 0 0	-4.87189918745197e-07
0	0	0 0 0	33 4 4	0	-1.896875 0 0	-4.7972235287983e-07
0	0	0 0 0	34 4 4	0	-1.89375 0 0	-4.72238599062442e-07
0	0	0 0 0	35 4 4	0	-1.890625 0 0	-4.6474414272849e-07
0	0	0 0 0	36 4 4	0	-1.8875 0 0	-4.5702186464284e-07
0	0	0 0 0	37 4 4	0	-1.884375 0 0	-4.501347097769e-07
0	0	0 0 0	38 4 4	0	-1.88125 0 0	-4.4291288976055e-07
0	0	0 0 0	39 4 4	0	-1.878125 0 0	-4.35674054005339e-07
0	0	0 0 0	40 4 4	0	-1.875 0 0	-4.28160998753192e-07
0	0	0 0 0	41 4 4	0	-1.871875 0 0	-4.2171572928705e-07
0	0	0 0 0	42 4 4	0	-1.86875 0 0	-4.14814151274189e-07
0	0	0 0 0	43 4 4	0	-1.865625 0 0	-4.07404352603278e-07
0	0	0 0 0	44 4 4	0	-1.8625 0 0	-4.01276683967321e-07
0	0	0 0 0	45 4 4	0	-1.859375 0 0	-3.94249567177169e-07
0	0	0 0 0	46 4 4	0	-1.85625 0 0	-3.87653240497632e-07
0	0	0 0 0	47 4 4	0	-1.853125 0 0	-3.81340648041495e-07
0	0	0 0 0	48 4 4	0	-1.85 0 0	-3.75058399823764e-07
0	0	0 0 0	49 4 4	0	-1.846875 0 0	-3.68699233436716e-07
0	0	0 0 0	50 4 4	0	-1.84375 0 0	-3.62984205355514e-07
0	0	0 0 0	51 4 4	0	-1.840625 0 0	-3.56661877637084e-07
0	0	0 0 0	52 4 4	0	-1.8375 0 0	-3.50667121075702e-07
0	0	0 0 0	53 4 4	0	-1.834375 0 0	-3.44583576368865e-07
0	0	0 0 0	54 4 4	0	-1.83125 0 0	-3.39152696315253e-07
0	0	0 0 0	55 4 4	0	-1.828125 0 0	-3.33430924101237e-07
0	0	0 0 0	56 4 4	0	-1.825 0 0	-3.28256607436215e-07
0	0	0 0 0	57 4 4	0	-1.821875 0 0	-3.2254605672054e-07
0	0	0 0 0	58 4 4	0	-1.81875 0 0	-3.16918180221296e-07
0	0	0 0 0	59 4 4	0	-1.815625 0 0	-3.11810917406809e-07
0	0	0 0 0	60 4 4	0	-1.8125 0 0	-3.06617810957605e-07
0	0	0 0 0	61 4 4	0	-1.809375 0 0	-3.01652432842421e-07
0	0	0 0 0	62 4 4	0	-1.80625 0 0	-2.96585966419807e-07
0	0	0 0 0	63 4 4	0	-1.803125 0 0	-2.92044938824841e-07
0	0	0 0 0	64 4 4	0	-1.8 0 0	-2.87316494912166e-07
0	0	0 0 0	65 4 4	0	-1.796875 0 0	-2.83027380254541e-07
0	0	0 0 0	66 4 4	0	-1.79375 0 0	-2.78471134237349e-07
0	0	0 0 0	67 4 4	0	-1.790625 0 0	-2.74271104918006e-07
0	0	0 0 0	68 4 4	0	-1.7875 0 0	-2.70243405901902e-07
0	0	0 0 0	69 4 4	0	-1.784375 0 0	-2.66377310579333e-07
0	0	0 0 0	70 4 4	0	-1.78125 0 0	-2.61944683651498e-07
0	0	0 0 0	71 4 4	0	-1.778125 0 0	-2.58791736231856e-07
0	0	0 0 0	72 4 4	0	-1.775 0 0	-2.55420651973761e-07
0	0	0 0 0	73 4 4	0	-1.771875 0 0	-2.52392474764124e-07
0	0	0 0 0	74 4 4	0	-1.76875 0 0	-2.48683836382053e-07
