# 1D ASCII output created by CarpetIOASCII
# created on 127.0.0.1ip-172-30-0-219 by admin on Aug 23 2016 at 00:08:56+0000
# parameter filename: "/home/admin/simulations/TWO_BH/2BH_Equal_mass/2bh_m1m2_0.47656_py_sx0.3/twopunmid_2bh_m1m2_0.47656_py_sx0.3_40.par"
#
# ADMCONSTRAINTS::HAMILTONIAN x (admconstraints-hamiltonian)
#
# iteration 0   time 0
# time level 0
# refinement level 0   multigrid level 0   map 0   component 0
# column format: 1:it	2:tl	3:rl 4:c 5:ml	6:ix 7:iy 8:iz	9:time	10:x 11:y 12:z	13:data
# data columns: 13:ham
0	0	0 0 0	0 4 4	0	-2 0 0	-1.21007920584931e-05
0	0	0 0 0	1 4 4	0	-1.996875 0 0	-1.21007920584931e-05
0	0	0 0 0	2 4 4	0	-1.99375 0 0	5.06206541466209e-06
0	0	0 0 0	3 4 4	0	-1.990625 0 0	5.04555525437196e-06
0	0	0 0 0	4 4 4	0	-1.9875 0 0	5.0227768908645e-06
0	0	0 0 0	5 4 4	0	-1.984375 0 0	4.99395060200945e-06
0	0	0 0 0	6 4 4	0	-1.98125 0 0	4.95946640808893e-06
0	0	0 0 0	7 4 4	0	-1.978125 0 0	4.9186580564067e-06
0	0	0 0 0	8 4 4	0	-1.975 0 0	4.87309526784295e-06
0	0	0 0 0	9 4 4	0	-1.971875 0 0	4.82084955235858e-06
0	0	0 0 0	10 4 4	0	-1.96875 0 0	4.76353530726864e-06
0	0	0 0 0	11 4 4	0	-1.965625 0 0	4.70067623095346e-06
0	0	0 0 0	12 4 4	0	-1.9625 0 0	4.63294102222029e-06
0	0	0 0 0	13 4 4	0	-1.959375 0 0	4.55936628728686e-06
0	0	0 0 0	14 4 4	0	-1.95625 0 0	4.48079979466264e-06
0	0	0 0 0	15 4 4	0	-1.953125 0 0	4.39708938011481e-06
0	0	0 0 0	16 4 4	0	-1.95 0 0	4.3091879279322e-06
0	0	0 0 0	17 4 4	0	-1.946875 0 0	4.21614546288612e-06
0	0	0 0 0	18 4 4	0	-1.94375 0 0	4.11814586354737e-06
0	0	0 0 0	19 4 4	0	-1.940625 0 0	4.01566629522625e-06
0	0	0 0 0	20 4 4	0	-1.9375 0 0	3.90915402376517e-06
0	0	0 0 0	21 4 4	0	-1.934375 0 0	3.79839339400309e-06
0	0	0 0 0	22 4 4	0	-1.93125 0 0	3.68291182747298e-06
0	0	0 0 0	23 4 4	0	-1.928125 0 0	3.56442222675005e-06
