# 1D ASCII output created by CarpetIOASCII
# created on 127.0.0.1ip-172-30-0-219 by admin on Aug 24 2016 at 18:28:23+0000
# parameter filename: "/home/admin/simulations/TWO_BH/2BH_Equal_mass/2bh_m1m2_0.47656_py_sx0.5/manybhfar_2bh_m1m2_0.47656_py_sx0.5_16x17x25.par"
#
# ADMCONSTRAINTS::HAMILTONIAN y (admconstraints-hamiltonian)
#
# iteration 0   time 0
# time level 0
# refinement level 0   multigrid level 0   map 0   component 0
# column format: 1:it	2:tl	3:rl 4:c 5:ml	6:ix 7:iy 8:iz	9:time	10:x 11:y 12:z	13:data
# data columns: 13:ham
0	0	0 0 0	1280 0 20	0	0 4.9375 5	5.50520786741653e-06
0	0	0 0 0	1280 1 20	0	0 4.940625 5	5.50520786741653e-06
0	0	0 0 0	1280 2 20	0	0 4.94375 5	5.49416155690868e-06
0	0	0 0 0	1280 3 20	0	0 4.946875 5	5.48457250047086e-06
0	0	0 0 0	1280 4 20	0	0 4.95 5	5.47612208198454e-06
0	0	0 0 0	1280 5 20	0	0 4.953125 5	5.46686447206546e-06
0	0	0 0 0	1280 6 20	0	0 4.95625 5	5.45859201506709e-06
0	0	0 0 0	1280 7 20	0	0 4.959375 5	5.44869176841639e-06
0	0	0 0 0	1280 8 20	0	0 4.9625 5	5.44080139117228e-06
0	0	0 0 0	1280 9 20	0	0 4.965625 5	5.43153860508371e-06
0	0	0 0 0	1280 10 20	0	0 4.96875 5	5.42315825007923e-06
0	0	0 0 0	1280 11 20	0	0 4.971875 5	5.41360933914598e-06
0	0	0 0 0	1280 12 20	0	0 4.975 5	5.40571209539068e-06
0	0	0 0 0	1280 13 20	0	0 4.978125 5	5.3960297279217e-06
0	0	0 0 0	1280 14 20	0	0 4.98125 5	5.38810183979041e-06
0	0	0 0 0	1280 15 20	0	0 4.984375 5	5.37910614342994e-06
0	0	0 0 0	1280 16 20	0	0 4.9875 5	5.36991444848399e-06
0	0	0 0 0	1280 17 20	0	0 4.990625 5	5.36232369697639e-06
0	0	0 0 0	1280 18 20	0	0 4.99375 5	5.35315012039171e-06
0	0	0 0 0	1280 19 20	0	0 4.996875 5	5.34429322343982e-06
0	0	0 0 0	1280 20 20	0	0 5 5	5.33611260287982e-06
0	0	0 0 0	1280 21 20	0	0 5.003125 5	5.3279917175389e-06
0	0	0 0 0	1280 22 20	0	0 5.00625 5	5.31864506834003e-06
0	0	0 0 0	1280 23 20	0	0 5.009375 5	5.30971691468588e-06
0	0	0 0 0	1280 24 20	0	0 5.0125 5	5.30110436881739e-06
0	0	0 0 0	1280 25 20	0	0 5.015625 5	5.29327029890233e-06
0	0	0 0 0	1280 26 20	0	0 5.01875 5	5.28436261591626e-06
0	0	0 0 0	1280 27 20	0	0 5.021875 5	5.27607855252659e-06
0	0	0 0 0	1280 28 20	0	0 5.025 5	5.26810934346863e-06
0	0	0 0 0	1280 29 20	0	0 5.028125 5	5.25916772939037e-06
0	0	0 0 0	1280 30 20	0	0 5.03125 5	5.25090058765336e-06
0	0	0 0 0	1280 31 20	0	0 5.034375 5	5.24238090515383e-06
0	0	0 0 0	1280 32 20	0	0 5.0375 5	5.23371117884008e-06
0	0	0 0 0	1280 33 20	0	0 5.040625 5	5.22556083868884e-06
0	0	0 0 0	1280 34 20	0	0 5.04375 5	5.21679598452436e-06
0	0	0 0 0	1280 35 20	0	0 5.046875 5	5.20844680804206e-06
0	0	0 0 0	1280 36 20	0	0 5.05 5	5.20046172539218e-06
0	0	0 0 0	1280 37 20	0	0 5.053125 5	5.19211852169643e-06
0	0	0 0 0	1280 38 20	0	0 5.05625 5	5.18367450682786e-06
0	0	0 0 0	1280 39 20	0	0 5.059375 5	5.17786483265323e-06
0	0	0 0 0	1280 40 20	0	0 5.0625 5	5.17786483265323e-06


