# 1D ASCII output created by CarpetIOASCII
# created on 127.0.0.1ip-172-30-0-219 by admin on Aug 24 2016 at 17:49:55+0000
# parameter filename: "/home/admin/simulations/TWO_BH/2BH_Equal_mass/2bh_m1m2_0.47656_py_sx0.5/manybhfar_2bh_m1m2_0.47656_py_sx0.5_4x5x9.par"
#
# ADMCONSTRAINTS::HAMILTONIAN x (admconstraints-hamiltonian)
#
# iteration 0   time 0
# time level 0
# refinement level 0   multigrid level 0   map 0   component 0
# column format: 1:it	2:tl	3:rl 4:c 5:ml	6:ix 7:iy 8:iz	9:time	10:x 11:y 12:z	13:data
# data columns: 13:ham
0	0	0 0 0	0 20 20	0	-4 5 5	5.27665666517536e-06
0	0	0 0 0	1 20 20	0	-3.996875 5 5	5.27665666517536e-06
0	0	0 0 0	2 20 20	0	-3.99375 5 5	5.27574713837697e-06
0	0	0 0 0	3 20 20	0	-3.990625 5 5	5.27601876257952e-06
0	0	0 0 0	4 20 20	0	-3.9875 5 5	5.27720129070799e-06
0	0	0 0 0	5 20 20	0	-3.984375 5 5	5.2767643272189e-06
0	0	0 0 0	6 20 20	0	-3.98125 5 5	5.27772020927743e-06
0	0	0 0 0	7 20 20	0	-3.978125 5 5	5.27813060146291e-06
0	0	0 0 0	8 20 20	0	-3.975 5 5	5.27810210241838e-06
0	0	0 0 0	9 20 20	0	-3.971875 5 5	5.28021556084392e-06
0	0	0 0 0	10 20 20	0	-3.96875 5 5	5.27979008500431e-06
0	0	0 0 0	11 20 20	0	-3.965625 5 5	5.28010572456956e-06
0	0	0 0 0	12 20 20	0	-3.9625 5 5	5.28078473006387e-06
0	0	0 0 0	13 20 20	0	-3.959375 5 5	5.28091179670287e-06
0	0	0 0 0	14 20 20	0	-3.95625 5 5	5.28134615197022e-06
0	0	0 0 0	15 20 20	0	-3.953125 5 5	5.28192532066611e-06
0	0	0 0 0	16 20 20	0	-3.95 5 5	5.28184185053741e-06
0	0	0 0 0	17 20 20	0	-3.946875 5 5	5.28281468132019e-06
0	0	0 0 0	18 20 20	0	-3.94375 5 5	5.2835526435764e-06
0	0	0 0 0	19 20 20	0	-3.940625 5 5	5.28367849662067e-06
0	0	0 0 0	20 20 20	0	-3.9375 5 5	5.28383607020234e-06
0	0	0 0 0	21 20 20	0	-3.934375 5 5	5.284400329535e-06
0	0	0 0 0	22 20 20	0	-3.93125 5 5	5.28483283392976e-06
0	0	0 0 0	23 20 20	0	-3.928125 5 5	5.28497140648829e-06
0	0	0 0 0	24 20 20	0	-3.925 5 5	5.28594288443059e-06
0	0	0 0 0	25 20 20	0	-3.921875 5 5	5.28565147212127e-06
0	0	0 0 0	26 20 20	0	-3.91875 5 5	5.2862981002862e-06
0	0	0 0 0	27 20 20	0	-3.915625 5 5	5.28600209213077e-06
0	0	0 0 0	28 20 20	0	-3.9125 5 5	5.28739341124555e-06
0	0	0 0 0	29 20 20	0	-3.909375 5 5	5.28783993210079e-06
0	0	0 0 0	30 20 20	0	-3.90625 5 5	5.28793130092918e-06
0	0	0 0 0	31 20 20	0	-3.903125 5 5	5.28712983859206e-06
0	0	0 0 0	32 20 20	0	-3.9 5 5	5.2890841567005e-06
0	0	0 0 0	33 20 20	0	-3.896875 5 5	5.28874800303093e-06
0	0	0 0 0	34 20 20	0	-3.89375 5 5	5.28923311816125e-06
0	0	0 0 0	35 20 20	0	-3.890625 5 5	5.28930420193291e-06
0	0	0 0 0	36 20 20	0	-3.8875 5 5	5.28938951784377e-06
0	0	0 0 0	37 20 20	0	-3.884375 5 5	5.29098985297246e-06
0	0	0 0 0	38 20 20	0	-3.88125 5 5	5.29002737611754e-06
0	0	0 0 0	39 20 20	0	-3.878125 5 5	5.29030960220696e-06
0	0	0 0 0	40 20 20	0	-3.875 5 5	5.29092343919784e-06
0	0	0 0 0	41 20 20	0	-3.871875 5 5	5.2913315344615e-06
0	0	0 0 0	42 20 20	0	-3.86875 5 5	5.29105027830725e-06
0	0	0 0 0	43 20 20	0	-3.865625 5 5	5.29158000952311e-06
0	0	0 0 0	44 20 20	0	-3.8625 5 5	5.29179364501628e-06
0	0	0 0 0	45 20 20	0	-3.859375 5 5	5.29265508082492e-06
0	0	0 0 0	46 20 20	0	-3.85625 5 5	5.29250159232646e-06
0	0	0 0 0	47 20 20	0	-3.853125 5 5	5.29272574664793e-06
0	0	0 0 0	48 20 20	0	-3.85 5 5	5.29316568785699e-06
0	0	0 0 0	49 20 20	0	-3.846875 5 5	5.2929094376029e-06
0	0	0 0 0	50 20 20	0	-3.84375 5 5	5.29350980971063e-06
0	0	0 0 0	51 20 20	0	-3.840625 5 5	5.29410839747807e-06
0	0	0 0 0	52 20 20	0	-3.8375 5 5	5.29357932436326e-06
0	0	0 0 0	53 20 20	0	-3.834375 5 5	5.29358222956852e-06
0	0	0 0 0	54 20 20	0	-3.83125 5 5	5.29475858135544e-06
0	0	0 0 0	55 20 20	0	-3.828125 5 5	5.29437598169818e-06
0	0	0 0 0	56 20 20	0	-3.825 5 5	5.29473627263709e-06
0	0	0 0 0	57 20 20	0	-3.821875 5 5	5.29444619102465e-06
0	0	0 0 0	58 20 20	0	-3.81875 5 5	5.29462913174611e-06
0	0	0 0 0	59 20 20	0	-3.815625 5 5	5.2948021936413e-06
0	0	0 0 0	60 20 20	0	-3.8125 5 5	5.29571365332199e-06
0	0	0 0 0	61 20 20	0	-3.809375 5 5	5.29607787652101e-06
0	0	0 0 0	62 20 20	0	-3.80625 5 5	5.29567995359669e-06
0	0	0 0 0	63 20 20	0	-3.803125 5 5	5.29649888760519e-06
0	0	0 0 0	64 20 20	0	-3.8 5 5	5.29612567200064e-06
0	0	0 0 0	65 20 20	0	-3.796875 5 5	5.29664612822595e-06
0	0	0 0 0	66 20 20	0	-3.79375 5 5	5.2959727108859e-06
0	0	0 0 0	67 20 20	0	-3.790625 5 5	5.29667223076491e-06
0	0	0 0 0	68 20 20	0	-3.7875 5 5	5.29729925201961e-06
0	0	0 0 0	69 20 20	0	-3.784375 5 5	5.2968902031871e-06
0	0	0 0 0	70 20 20	0	-3.78125 5 5	5.29694164196384e-06
0	0	0 0 0	71 20 20	0	-3.778125 5 5	5.29739897132467e-06
0	0	0 0 0	72 20 20	0	-3.775 5 5	5.29761951167243e-06
0	0	0 0 0	73 20 20	0	-3.771875 5 5	5.29776278722267e-06
0	0	0 0 0	74 20 20	0	-3.76875 5 5	5.29830887308852e-06
0	0	0 0 0	75 20 20	0	-3.765625 5 5	5.29765322308545e-06
0	0	0 0 0	76 20 20	0	-3.7625 5 5	5.29862777718186e-06
0	0	0 0 0	77 20 20	0	-3.759375 5 5	5.2981850632529e-06
0	0	0 0 0	78 20 20	0	-3.75625 5 5	5.2979275156912e-06
0	0	0 0 0	79 20 20	0	-3.753125 5 5	5.29902954126105e-06
0	0	0 0 0	80 20 20	0	-3.75 5 5	5.29887207713065e-06
0	0	0 0 0	81 20 20	0	-3.746875 5 5	5.29830920184748e-06
0	0	0 0 0	82 20 20	0	-3.74375 5 5	5.29904931399964e-06
0	0	0 0 0	83 20 20	0	-3.740625 5 5	5.29959563790883e-06
0	0	0 0 0	84 20 20	0	-3.7375 5 5	5.29957347747466e-06
0	0	0 0 0	85 20 20	0	-3.734375 5 5	5.29951600895552e-06
0	0	0 0 0	86 20 20	0	-3.73125 5 5	5.29968930424407e-06
0	0	0 0 0	87 20 20	0	-3.728125 5 5	5.29998555109876e-06
0	0	0 0 0	88 20 20	0	-3.725 5 5	5.29997669579494e-06
0	0	0 0 0	89 20 20	0	-3.721875 5 5	5.2997152757537e-06
0	0	0 0 0	90 20 20	0	-3.71875 5 5	5.29946734218902e-06
0	0	0 0 0	91 20 20	0	-3.715625 5 5	5.30024592450986e-06
0	0	0 0 0	92 20 20	0	-3.7125 5 5	5.29948835024809e-06
0	0	0 0 0	93 20 20	0	-3.709375 5 5	5.30050243153843e-06
0	0	0 0 0	94 20 20	0	-3.70625 5 5	5.3002454625769e-06
0	0	0 0 0	95 20 20	0	-3.703125 5 5	5.30031745890565e-06
0	0	0 0 0	96 20 20	0	-3.7 5 5	5.30039732311807e-06
0	0	0 0 0	97 20 20	0	-3.696875 5 5	5.30053745244323e-06
0	0	0 0 0	98 20 20	0	-3.69375 5 5	5.30084360592411e-06
0	0	0 0 0	99 20 20	0	-3.690625 5 5	5.30104817925441e-06
0	0	0 0 0	100 20 20	0	-3.6875 5 5	5.301310289914e-06
0	0	0 0 0	101 20 20	0	-3.684375 5 5	5.30136239066121e-06
0	0	0 0 0	102 20 20	0	-3.68125 5 5	5.30099042805287e-06
0	0	0 0 0	103 20 20	0	-3.678125 5 5	5.30131309076287e-06
0	0	0 0 0	104 20 20	0	-3.675 5 5	5.30136982110805e-06
0	0	0 0 0	105 20 20	0	-3.671875 5 5	5.30147962732197e-06
0	0	0 0 0	106 20 20	0	-3.66875 5 5	5.30084215132537e-06
0	0	0 0 0	107 20 20	0	-3.665625 5 5	5.30116200941081e-06
0	0	0 0 0	108 20 20	0	-3.6625 5 5	5.30211837057549e-06
0	0	0 0 0	109 20 20	0	-3.659375 5 5	5.30131250582885e-06
0	0	0 0 0	110 20 20	0	-3.65625 5 5	5.30172751067757e-06
0	0	0 0 0	111 20 20	0	-3.653125 5 5	5.30187061080939e-06
0	0	0 0 0	112 20 20	0	-3.65 5 5	5.30174095282146e-06
0	0	0 0 0	113 20 20	0	-3.646875 5 5	5.30224326500959e-06
0	0	0 0 0	114 20 20	0	-3.64375 5 5	5.3020982906793e-06
0	0	0 0 0	115 20 20	0	-3.640625 5 5	5.30274315955505e-06
0	0	0 0 0	116 20 20	0	-3.6375 5 5	5.30215343798959e-06
0	0	0 0 0	117 20 20	0	-3.634375 5 5	5.30197910316362e-06
0	0	0 0 0	118 20 20	0	-3.63125 5 5	5.302698303981e-06
0	0	0 0 0	119 20 20	0	-3.628125 5 5	5.30223390688993e-06
0	0	0 0 0	120 20 20	0	-3.625 5 5	5.30298067565793e-06
0	0	0 0 0	121 20 20	0	-3.621875 5 5	5.30318101648785e-06
0	0	0 0 0	122 20 20	0	-3.61875 5 5	5.3023552843336e-06
0	0	0 0 0	123 20 20	0	-3.615625 5 5	5.30332328229471e-06
0	0	0 0 0	124 20 20	0	-3.6125 5 5	5.30299753534348e-06
0	0	0 0 0	125 20 20	0	-3.609375 5 5	5.30308012919146e-06
0	0	0 0 0	126 20 20	0	-3.60625 5 5	5.30255933045401e-06
0	0	0 0 0	127 20 20	0	-3.603125 5 5	5.30425378214798e-06
0	0	0 0 0	128 20 20	0	-3.6 5 5	5.30278988313585e-06
0	0	0 0 0	129 20 20	0	-3.596875 5 5	5.3038053619609e-06
0	0	0 0 0	130 20 20	0	-3.59375 5 5	5.30405461641595e-06
0	0	0 0 0	131 20 20	0	-3.590625 5 5	5.30374985178925e-06
0	0	0 0 0	132 20 20	0	-3.5875 5 5	5.30374108850226e-06
0	0	0 0 0	133 20 20	0	-3.584375 5 5	5.30354895154383e-06
0	0	0 0 0	134 20 20	0	-3.58125 5 5	5.30407644464752e-06
0	0	0 0 0	135 20 20	0	-3.578125 5 5	5.30516309432586e-06
0	0	0 0 0	136 20 20	0	-3.575 5 5	5.3034593809375e-06
0	0	0 0 0	137 20 20	0	-3.571875 5 5	5.30443946278097e-06
0	0	0 0 0	138 20 20	0	-3.56875 5 5	5.30470066627592e-06
0	0	0 0 0	139 20 20	0	-3.565625 5 5	5.30461436429631e-06
0	0	0 0 0	140 20 20	0	-3.5625 5 5	5.30380795822523e-06
0	0	0 0 0	141 20 20	0	-3.559375 5 5	5.30451225727573e-06
0	0	0 0 0	142 20 20	0	-3.55625 5 5	5.30561048064699e-06
0	0	0 0 0	143 20 20	0	-3.553125 5 5	5.30513628767757e-06
0	0	0 0 0	144 20 20	0	-3.55 5 5	5.30510773489189e-06
0	0	0 0 0	145 20 20	0	-3.546875 5 5	5.30520528600609e-06
