# 1D ASCII output created by CarpetIOASCII
# created on 127.0.0.1ip-172-30-0-219 by admin on Aug 22 2016 at 07:25:10+0000
# parameter filename: "/home/admin/simulations/TWO_BH/2BH_Equal_mass/2bh_m1m2_0.47656_py_sx0.5/manybhnear_2bh_m1m2_0.47656_py_sx0.5_4x5x9.par"
#
# ADMCONSTRAINTS::HAMILTONIAN y (admconstraints-hamiltonian)
#
# iteration 0   time 0
# time level 0
# refinement level 0   multigrid level 0   map 0   component 0
# column format: 1:it	2:tl	3:rl 4:c 5:ml	6:ix 7:iy 8:iz	9:time	10:x 11:y 12:z	13:data
# data columns: 13:ham
0	0	0 0 0	10 0 10	0	3 0.06875 0.1	0.237636564265664
0	0	0 0 0	10 1 10	0	3 0.071875 0.1	0.237636564265664
0	0	0 0 0	10 2 10	0	3 0.075 0.1	0.241395285459788
0	0	0 0 0	10 3 10	0	3 0.078125 0.1	0.246273527250924
0	0	0 0 0	10 4 10	0	3 0.08125 0.1	0.251162965145392
0	0	0 0 0	10 5 10	0	3 0.084375 0.1	0.256048156385468
0	0	0 0 0	10 6 10	0	3 0.0875 0.1	0.260914200719843
0	0	0 0 0	10 7 10	0	3 0.090625 0.1	0.265746818285828
0	0	0 0 0	10 8 10	0	3 0.09375 0.1	0.270532425553846
0	0	0 0 0	10 9 10	0	3 0.096875 0.1	0.275258209063341
0	0	0 0 0	10 10 10	0	3 0.1 0.1	0.279912195066388
0	0	0 0 0	10 11 10	0	3 0.103125 0.1	0.284483312751006
0	0	0 0 0	10 12 10	0	3 0.10625 0.1	0.288961446312094
0	0	0 0 0	10 13 10	0	3 0.109375 0.1	0.293337470544805
0	0	0 0 0	10 14 10	0	3 0.1125 0.1	0.297603261197156
0	0	0 0 0	10 15 10	0	3 0.115625 0.1	0.30175167013526
0	0	0 0 0	10 16 10	0	3 0.11875 0.1	0.305776452044493
0	0	0 0 0	10 17 10	0	3 0.121875 0.1	0.309672126623936
0	0	0 0 0	10 18 10	0	3 0.125 0.1	0.313433757391631
0	0	0 0 0	10 19 10	0	3 0.128125 0.1	0.317588730381913
0	0	0 0 0	10 20 10	0	3 0.13125 0.1	0.317588730381913


