# 1D ASCII output created by CarpetIOASCII
# created on 127.0.0.1ip-172-30-0-219 by admin on Aug 22 2016 at 07:27:34+0000
# parameter filename: "/home/admin/simulations/TWO_BH/2BH_Equal_mass/2bh_m1m2_0.47656_py_sx0.5/manybhnear_2bh_m1m2_0.47656_py_sx0.5_8x9x13.par"
#
# ADMCONSTRAINTS::HAMILTONIAN x (admconstraints-hamiltonian)
#
# iteration 0   time 0
# time level 0
# refinement level 0   multigrid level 0   map 0   component 0
# column format: 1:it	2:tl	3:rl 4:c 5:ml	6:ix 7:iy 8:iz	9:time	10:x 11:y 12:z	13:data
# data columns: 13:ham
0	0	0 0 0	0 10 10	0	2.96875 0.1 0.1	0.253555744217108
0	0	0 0 0	1 10 10	0	2.971875 0.1 0.1	0.253555744217108
0	0	0 0 0	2 10 10	0	2.975 0.1 0.1	0.253308465295128
0	0	0 0 0	3 10 10	0	2.978125 0.1 0.1	0.25403436250228
0	0	0 0 0	4 10 10	0	2.98125 0.1 0.1	0.254665306273575
0	0	0 0 0	5 10 10	0	2.984375 0.1 0.1	0.255201818689511
0	0	0 0 0	6 10 10	0	2.9875 0.1 0.1	0.255644394383227
0	0	0 0 0	7 10 10	0	2.990625 0.1 0.1	0.255993475154538
0	0	0 0 0	8 10 10	0	2.99375 0.1 0.1	0.256249428317384
0	0	0 0 0	9 10 10	0	2.996875 0.1 0.1	0.256412528829529
0	0	0 0 0	10 10 10	0	3 0.1 0.1	0.25648294620108
0	0	0 0 0	11 10 10	0	3.003125 0.1 0.1	0.256460736414498
0	0	0 0 0	12 10 10	0	3.00625 0.1 0.1	0.256345838935455
0	0	0 0 0	13 10 10	0	3.009375 0.1 0.1	0.256138079249913
0	0	0 0 0	14 10 10	0	3.0125 0.1 0.1	0.255837176480848
0	0	0 0 0	15 10 10	0	3.015625 0.1 0.1	0.255442756086073
0	0	0 0 0	16 10 10	0	3.01875 0.1 0.1	0.254954367248105
0	0	0 0 0	17 10 10	0	3.021875 0.1 0.1	0.254371504256664
0	0	0 0 0	18 10 10	0	3.025 0.1 0.1	0.25369363153123
0	0	0 0 0	19 10 10	0	3.028125 0.1 0.1	0.253988845783597
0	0	0 0 0	20 10 10	0	3.03125 0.1 0.1	0.253988845783597


