# 1D ASCII output created by CarpetIOASCII
# created on 127.0.0.1ip-172-30-0-219 by admin on Jun 24 2016 at 17:05:06+0000
# parameter filename: "bcm_working.par"
#
# ADMBASE::CURV z (admbase-curv)
#
# iteration 0   time 0
# time level 0
# refinement level 0   multigrid level 0   map 0   component 0
# column format: 1:it	2:tl	3:rl 4:c 5:ml	6:ix 7:iy 8:iz	9:time	10:x 11:y 12:z	13:data
# data columns: 13:kxx 14:kxy 15:kxz 16:kyy 17:kyz 18:kzz
0	0	0 0 0	20 20 0	0	3 0.5 0.4375	-0.00489515530909991 -0.0143413989258674 0.0249412134816285 0.000479154024885519 0.00363764272307511 0.0044160012842144
0	0	0 0 0	20 20 1	0	3 0.5 0.440625	-0.00493361949838109 -0.0143500265388312 0.0249252954911231 0.000475985789626637 0.00363937197221273 0.00445763370875445
0	0	0 0 0	20 20 2	0	3 0.5 0.44375	-0.004972038330984 -0.0143586020665945 0.0249092735014208 0.000472817288205917 0.00364106473106535 0.00449922104277808
0	0	0 0 0	20 20 3	0	3 0.5 0.446875	-0.00501041145340585 -0.0143671254665373 0.0248931477519683 0.00046964855458799 0.0036427209952123 0.00454076289881786
0	0	0 0 0	20 20 4	0	3 0.5 0.45	-0.00504873851314215 -0.0143755966969037 0.024876918483548 0.000466479622724823 0.00364434076098018 0.00458225889041733
0	0	0 0 0	20 20 5	0	3 0.5 0.453125	-0.00508701915869427 -0.014384015716802 0.0248605859382711 0.000463310526554806 0.00364592402544268 0.00462370863213947
0	0	0 0 0	20 20 6	0	3 0.5 0.45625	-0.00512525303957689 -0.0143923824862034 0.02484415035957 0.00046014130000184 0.00364747078642026 0.00466511173957505
0	0	0 0 0	20 20 7	0	3 0.5 0.459375	-0.00516343980632539 -0.0144006969659415 0.0248276119921912 0.00045697197697443 0.00364898104247995 0.00470646782935096
0	0	0 0 0	20 20 8	0	3 0.5 0.4625	-0.00520157911050327 -0.0144089591177118 0.0248109710821879 0.000453802591364774 0.00365045479293498 0.0047477765191385
0	0	0 0 0	20 20 9	0	3 0.5 0.465625	-0.00523967060470952 -0.0144171689040706 0.0247942278769127 0.000450633177047854 0.00365189203784447 0.00478903742766166
0	0	0 0 0	20 20 10	0	3 0.5 0.46875	-0.00527771394258586 -0.0144253262884345 0.0247773826250104 0.000447463767880533 0.00365329277801304 0.00483025017470533
0	0	0 0 0	20 20 11	0	3 0.5 0.471875	-0.00531570877882404 -0.0144334312350792 0.0247604355764102 0.000444294397700645 0.00365465701499039 0.0048714143811234
0	0	0 0 0	20 20 12	0	3 0.5 0.475	-0.00535365476917308 -0.0144414837091391 0.0247433869823186 0.000441125100326095 0.0036559847510709 0.00491252966884699
0	0	0 0 0	20 20 13	0	3 0.5 0.478125	-0.00539155157044641 -0.0144494836766064 0.0247262370952121 0.000437955909553952 0.00365727598929313 0.00495359566089246
0	0	0 0 0	20 20 14	0	3 0.5 0.48125	-0.00542939884052904 -0.0144574311043296 0.0247089861688291 0.000434786859159551 0.00365853073343932 0.00499461198136949
0	0	0 0 0	20 20 15	0	3 0.5 0.484375	-0.00546719623838461 -0.0144653259600135 0.0246916344581632 0.000431617982895594 0.00365974898803489 0.00503557825548902
0	0	0 0 0	20 20 16	0	3 0.5 0.4875	-0.00550494342406253 -0.0144731682122175 0.0246741822194549 0.000428449314491243 0.00366093075834785 0.00507649410957128
0	0	0 0 0	20 20 17	0	3 0.5 0.490625	-0.00554264005870489 -0.0144809578303549 0.0246566297101847 0.000425280887651232 0.00366207605038821 0.00511735917105366
0	0	0 0 0	20 20 18	0	3 0.5 0.49375	-0.00558028580455352 -0.014488694784692 0.0246389771890652 0.000422112736054969 0.00366318487090737 0.00515817306849856
0	0	0 0 0	20 20 19	0	3 0.5 0.496875	-0.00561788032495684 -0.0144963790463468 0.0246212249160334 0.000418944893355637 0.00366425722739745 0.0051989354316012
0	0	0 0 0	20 20 20	0	3 0.5 0.5	-0.00565542328437677 -0.0145040105872881 0.0246033731522434 0.00041577739317931 0.00366529312809063 0.00523964589119746
0	0	0 0 0	20 20 21	0	3 0.5 0.503125	-0.00569291434839561 -0.0145115893803347 0.0245854221600586 0.000412610269124054 0.0036662925819584 0.00528030407927155
0	0	0 0 0	20 20 22	0	3 0.5 0.50625	-0.00573035318372275 -0.0145191153991536 0.024567372203044 0.000409443554759042 0.00366725559871086 0.00532090962896371
0	0	0 0 0	20 20 23	0	3 0.5 0.509375	-0.0057677394582015 -0.0145265886182593 0.0245492235459584 0.000406277283623668 0.00366818218879588 0.00536146217457783
0	0	0 0 0	20 20 24	0	3 0.5 0.5125	-0.00580507284081573 -0.0145340090130128 0.0245309764547469 0.000403111489226657 0.00366907236339836 0.00540196135158907
0	0	0 0 0	20 20 25	0	3 0.5 0.515625	-0.0058423530016966 -0.01454137655962 0.0245126311965333 0.000399946205045186 0.00366992613443934 0.00544240679665141
0	0	0 0 0	20 20 26	0	3 0.5 0.51875	-0.0058795796121291 -0.0145486912351307 0.0244941880396118 0.000396781464524002 0.00367074351457517 0.0054827981476051
0	0	0 0 0	20 20 27	0	3 0.5 0.521875	-0.00591675234455868 -0.0145559530174373 0.0244756472534397 0.000393617301074536 0.00367152451719659 0.00552313504348414
0	0	0 0 0	20 20 28	0	3 0.5 0.525	-0.00595387087259773 -0.0145631618852736 0.0244570091086296 0.000390453748074036 0.0036722691564278 0.0055634171245237
0	0	0 0 0	20 20 29	0	3 0.5 0.528125	-0.00599093487103212 -0.0145703178182134 0.0244382738769413 0.00038729083886468 0.00367297744712554 0.00560364403216744
0	0	0 0 0	20 20 30	0	3 0.5 0.53125	-0.00602794401582754 -0.0145774207966691 0.024419441831274 0.00038412860675271 0.00367364940487803 0.00564381540907483
0	0	0 0 0	20 20 31	0	3 0.5 0.534375	-0.00606489798413599 -0.0145844708018907 0.0244005132456587 0.000380967085007559 0.00367428504600403 0.00568393089912843
0	0	0 0 0	20 20 32	0	3 0.5 0.5375	-0.00610179645430205 -0.0145914678159641 0.0243814883952503 0.000377806306860979 0.00367488438755175 0.00572399014744107
0	0	0 0 0	20 20 33	0	3 0.5 0.540625	-0.0061386391058692 -0.0145984118218097 0.0243623675563193 0.000374646305506177 0.00367544744729776 0.00576399280036303
0	0	0 0 0	20 20 34	0	3 0.5 0.54375	-0.00617542561958608 -0.0146053028031812 0.0243431510062443 0.00037148711409695 0.00367597424374592 0.00580393850548913
0	0	0 0 0	20 20 35	0	3 0.5 0.546875	-0.00621215567741265 -0.0146121407446641 0.0243238390235039 0.000368328765746819 0.00367646479612623 0.00584382691166583
