 1.0299741863754354743 0.0010240697831359578 -9.5000000000000000000 -9.5000000000000000000 -9.5000000000000000000 -0.0000000704538295618	 1.0299741863754352522 0.0010240697831359529 -9.5000000000000000000 -9.5000000000000000000 -9.5000000000000000000 -0.0000000704538295618
 1.0310607222069763100 0.0010620186104818232 -9.5000000000000000000 -9.5000000000000000000 -8.5000000000000000000 -0.0000000933830011971	 1.0310607222069760880 0.0010620186104818175 -9.5000000000000000000 -9.5000000000000000000 -8.5000000000000000000 -0.0000000933830011971
 1.0321380511448163819 0.0010997779211646972 -9.5000000000000000000 -9.5000000000000000000 -7.5000000000000000000 -0.0000001225463789335	 1.0321380511448166040 0.0010997779211646915 -9.5000000000000000000 -9.5000000000000000000 -7.5000000000000000000 -0.0000001225463789335
 1.0331842762274214831 0.0011365845780710599 -9.5000000000000000000 -9.5000000000000000000 -6.5000000000000000000 -0.0000001584886322033	 1.0331842762274214831 0.0011365845780710534 -9.5000000000000000000 -9.5000000000000000000 -6.5000000000000000000 -0.0000001584886322033
 1.0341726739612435715 0.0011714922478225900 -9.5000000000000000000 -9.5000000000000000000 -5.5000000000000000000 -0.0000002009382114842	 1.0341726739612433494 0.0011714922478225837 -9.5000000000000000000 -9.5000000000000000000 -5.5000000000000000000 -0.0000002009382114842
 1.0350722723206529086 0.0012033873740697060 -9.5000000000000000000 -9.5000000000000000000 -4.5000000000000000000 -0.0000002482826181015	 1.0350722723206529086 0.0012033873740696999 -9.5000000000000000000 -9.5000000000000000000 -4.5000000000000000000 -0.0000002482826181015
 1.0358493475191479227 0.0012310400883599679 -9.5000000000000000000 -9.5000000000000000000 -3.5000000000000000000 -0.0000002971312684107	 1.0358493475191477007 0.0012310400883599622 -9.5000000000000000000 -9.5000000000000000000 -3.5000000000000000000 -0.0000002971312684107
 1.0364699851746488335 0.0012531975739587804 -9.5000000000000000000 -9.5000000000000000000 -2.5000000000000000000 -0.0000003422833676577	 1.0364699851746490555 0.0012531975739587752 -9.5000000000000000000 -9.5000000000000000000 -2.5000000000000000000 -0.0000003422833676577
 1.0369035767977972107 0.0012687167916763688 -9.5000000000000000000 -9.5000000000000000000 -1.5000000000000000000 -0.0000003774501442545	 1.0369035767977972107 0.0012687167916763629 -9.5000000000000000000 -9.5000000000000000000 -1.5000000000000000000 -0.0000003774501442545
 1.0371267314389587266 0.0012767170351383552 -9.5000000000000000000 -9.5000000000000000000 -0.5000000000000000000 -0.0000003967998617781	 1.0371267314389587266 0.0012767170351383492 -9.5000000000000000000 -9.5000000000000000000 -0.5000000000000000000 -0.0000003967998617781
 1.0371267314389587266 0.0012767170351383552 -9.5000000000000000000 -9.5000000000000000000 0.5000000000000000000 -0.0000003967998617781	 1.0371267314389587266 0.0012767170351383492 -9.5000000000000000000 -9.5000000000000000000 0.5000000000000000000 -0.0000003967998617781
 1.0369035767977972107 0.0012687167916763688 -9.5000000000000000000 -9.5000000000000000000 1.5000000000000000000 -0.0000003774501442545	 1.0369035767977972107 0.0012687167916763629 -9.5000000000000000000 -9.5000000000000000000 1.5000000000000000000 -0.0000003774501442545
 1.0364699851746488335 0.0012531975739587804 -9.5000000000000000000 -9.5000000000000000000 2.5000000000000000000 -0.0000003422833676577	 1.0364699851746490555 0.0012531975739587752 -9.5000000000000000000 -9.5000000000000000000 2.5000000000000000000 -0.0000003422833676577
 1.0358493475191479227 0.0012310400883599679 -9.5000000000000000000 -9.5000000000000000000 3.5000000000000000000 -0.0000002971312684107	 1.0358493475191477007 0.0012310400883599622 -9.5000000000000000000 -9.5000000000000000000 3.5000000000000000000 -0.0000002971312684107
 1.0350722723206529086 0.0012033873740697060 -9.5000000000000000000 -9.5000000000000000000 4.5000000000000000000 -0.0000002482826181015	 1.0350722723206529086 0.0012033873740696999 -9.5000000000000000000 -9.5000000000000000000 4.5000000000000000000 -0.0000002482826181015
 1.0341726739612435715 0.0011714922478225900 -9.5000000000000000000 -9.5000000000000000000 5.5000000000000000000 -0.0000002009382114842	 1.0341726739612433494 0.0011714922478225837 -9.5000000000000000000 -9.5000000000000000000 5.5000000000000000000 -0.0000002009382114842
 1.0331842762274214831 0.0011365845780710599 -9.5000000000000000000 -9.5000000000000000000 6.5000000000000000000 -0.0000001584886322033	 1.0331842762274214831 0.0011365845780710534 -9.5000000000000000000 -9.5000000000000000000 6.5000000000000000000 -0.0000001584886322033
 1.0321380511448163819 0.0010997779211646972 -9.5000000000000000000 -9.5000000000000000000 7.5000000000000000000 -0.0000001225463789335	 1.0321380511448166040 0.0010997779211646915 -9.5000000000000000000 -9.5000000000000000000 7.5000000000000000000 -0.0000001225463789335
 1.0310607222069763100 0.0010620186104818232 -9.5000000000000000000 -9.5000000000000000000 8.5000000000000000000 -0.0000000933830011971	 1.0310607222069760880 0.0010620186104818175 -9.5000000000000000000 -9.5000000000000000000 8.5000000000000000000 -0.0000000933830011971
 1.0299741863754354743 0.0010240697831359578 -9.5000000000000000000 -9.5000000000000000000 9.5000000000000000000 -0.0000000704538295618	 1.0299741863754352522 0.0010240697831359529 -9.5000000000000000000 -9.5000000000000000000 9.5000000000000000000 -0.0000000704538295618
 1.0309440531671674179 0.0010566910154537995 -9.5000000000000000000 -8.5000000000000000000 -9.5000000000000000000 -0.0000000804020209400	 1.0309440531671674179 0.0010566910154537941 -9.5000000000000000000 -8.5000000000000000000 -9.5000000000000000000 -0.0000000804020209400
 1.0321404073182678385 0.0010984379717900701 -9.5000000000000000000 -8.5000000000000000000 -8.5000000000000000000 -0.0000001081595429607	 1.0321404073182676164 0.0010984379717900643 -9.5000000000000000000 -8.5000000000000000000 -8.5000000000000000000 -0.0000001081595429607
 1.0333350108984449278 0.0011402813821040799 -9.5000000000000000000 -8.5000000000000000000 -7.5000000000000000000 -0.0000001441128122391	 1.0333350108984449278 0.0011402813821040744 -9.5000000000000000000 -8.5000000000000000000 -7.5000000000000000000 -0.0000001441128122391
 1.0345035727944931203 0.0011813804060218538 -9.5000000000000000000 -8.5000000000000000000 -6.5000000000000000000 -0.0000001892216261876	 1.0345035727944931203 0.0011813804060218482 -9.5000000000000000000 -8.5000000000000000000 -6.5000000000000000000 -0.0000001892216261876
 1.0356156266710487834 0.0012206610139902485 -9.5000000000000000000 -8.5000000000000000000 -5.5000000000000000000 -0.0000002433988294988	 1.0356156266710487834 0.0012206610139902422 -9.5000000000000000000 -8.5000000000000000000 -5.5000000000000000000 -0.0000002433988294988
 1.0366349723427565888 0.0012568247654973128 -9.5000000000000000000 -8.5000000000000000000 -4.5000000000000000000 -0.0000003047351645983	 1.0366349723427568108 0.0012568247654973061 -9.5000000000000000000 -8.5000000000000000000 -4.5000000000000000000 -0.0000003047351645983
 1.0375212921026848445 0.0012884017916926179 -9.5000000000000000000 -8.5000000000000000000 -3.5000000000000000000 -0.0000003688267587595	 1.0375212921026848445 0.0012884017916926119 -9.5000000000000000000 -8.5000000000000000000 -3.5000000000000000000 -0.0000003688267587595
